DATE,OPEN,HIGH,LOW,CLOSE,VOLUME BTC,VOLUME USDT
4/28/2019,5295.69,5340,5259.48,5307.52,13696.93,72698846.21
4/27/2019,5314.1,5342.5,5257.67,5295.69,14797.5,78433878.76
4/26/2019,5219.9,5510,5161.62,5314.1,45512.58,241599143.8
4/25/2019,5415,5491.84,5102,5219.9,46048.68,246080114.2
4/24/2019,5493.31,5582.2,5333.35,5415,44561.97,242563528.1
4/23/2019,5357.14,5600,5332.41,5493.31,38259.59,210611717.1
4/22/2019,5256.14,5400,5208.35,5357.14,27894.99,147775807.7
4/21/2019,5291.73,5314.35,5165,5256.14,23874.51,125164014.5
4/20/2019,5258.68,5333.42,5230.1,5291.73,18295.89,96728480.31
4/19/2019,5258.44,5320,5175,5258.68,23278.77,121954993.7
4/18/2019,5202.82,5287,5198.8,5258.44,21480.81,112603955.3
4/17/2019,5173.72,5230.4,5146.8,5202.82,21987.23,114118850.6
4/16/2019,5024.95,5197.72,5003.94,5173.72,22808.7,116255208.5
4/15/2019,5131.3,5167.38,4950,5024.95,27252.83,138545876.2
4/14/2019,5045.22,5152.99,5000,5131.3,17426.87,88260470.74
4/13/2019,5048.01,5099,5004,5045.22,16562.14,83686653.62
4/12/2019,5017.37,5080.58,4861.22,5048.01,31219.92,156210764.1
4/11/2019,5308.25,5332.67,4927,5017.37,50271.11,255269789.7
4/10/2019,5150,5422,5135,5308.25,37063.21,194991190
4/9/2019,5236.9,5238.4,5076.68,5150,31781.31,163857659.4
4/8/2019,5170.27,5305,5039,5236.9,46325.63,240502788.4
4/7/2019,5043.89,5234,5026,5170.27,35027.71,179636564.3
4/6/2019,5004.95,5205,4928.59,5043.89,38455.22,194175873.5
4/5/2019,4898.66,5028.22,4880.62,5004.95,37248.36,185131241.1
4/4/2019,4932.6,5039.08,4777,4898.66,56271.11,277808062.4
4/3/2019,4857.29,5275.01,4753.5,4932.6,98509.76,492096758
4/2/2019,4144.56,4897.99,4140.54,4857.29,94625.11,439057063
4/1/2019,4103.95,4158.7,4067,4144.56,23934.61,98897382.91
3/19/2019,3987.81,4002.99,3983.14,3998.9,943.68,3770271.68
3/18/2019,3981.14,4037,3953.33,3987.81,21381.83,85249694.91
3/17/2019,4005.98,4012,3950.01,3981.14,18102.89,72063019.54
3/16/2019,3923.76,4056.98,3921.98,4005.98,26886.25,107497618.6
3/15/2019,3877.12,3939.22,3872.2,3923.76,20766.29,81114891.34
3/14/2019,3866,3920,3810.43,3877.12,25316.25,97969538.78
3/13/2019,3882.73,3893.56,3840,3866,23349.97,90381736.59
3/12/2019,3871.61,3905.2,3826.06,3882.73,25517.64,98954297.4
3/11/2019,3916.82,3936.98,3830,3871.61,35945.48,139488437.9
3/10/2019,3943.04,3943.43,3881.69,3916.82,22134.42,86575687.94
3/9/2019,3864.89,3971.75,3854.75,3943.04,29345.08,114942454.6
3/8/2019,3873.64,3932,3800,3864.89,32646.03,126907648.3
3/7/2019,3861.84,3905.4,3840.4,3873.64,25223.89,97813042.1
3/6/2019,3857.73,3907,3813.09,3861.84,23217.87,89407898.27
3/5/2019,3715.3,3877.1,3703.55,3857.73,30814.57,116787730.3
3/4/2019,3807.75,3830,3670.69,3715.3,32609.38,121780238.8
3/3/2019,3819.93,3835,3781.32,3807.75,15984.76,60995557.62
3/2/2019,3823,3841.31,3772.25,3819.93,18494.08,70548329.53
3/1/2019,3813.69,3857,3813.01,3823,22279.3,85419292.59
2/28/2019,3818.07,3888,3763.87,3813.69,30671.7,117459044.7
2/27/2019,3809.23,3838.85,3677.17,3818.07,29414.85,111687755.6
2/26/2019,3827.92,3841.51,3777,3809.23,27290.26,104034920.1
2/25/2019,3743.56,3872.66,3740,3827.92,36041.94,137427517.2
2/24/2019,4117.76,4198,3712.66,3743.56,57263.85,224883719.8
2/23/2019,3962,4162.02,3933.15,4117.76,31093.41,125401353.3
2/22/2019,3937.31,3988,3926.65,3962,22768.18,90091055.39
2/21/2019,3969.74,4016.48,3901.03,3937.31,29171.27,115083645.2
2/20/2019,3907.79,3986.98,3870.66,3969.74,34310.79,135108358
2/19/2019,3898.6,3994.52,3856,3907.79,46824.36,183807678.8
2/18/2019,3667.58,3925,3655,3898.6,59288.85,224852810.2
2/17/2019,3618.41,3700.11,3604.4,3667.58,24263.28,88228964.53
2/16/2019,3602.47,3648.18,3597.91,3618.41,18663.59,67623931.31
2/15/2019,3590.56,3653.23,3573.45,3602.47,19769.69,71300223.62
2/14/2019,3609.4,3626.4,3568.11,3590.56,20761.21,74794370.44
2/13/2019,3631.46,3670,3591.75,3609.4,24611.21,89139062.5
2/12/2019,3631.05,3667.6,3582.34,3631.46,27762.12,100548787.8
2/11/2019,3680.06,3684.9,3615.53,3631.05,23745.31,86333971.26
2/10/2019,3665.18,3684.99,3609.76,3680.06,22082.81,80442931.34
2/9/2019,3659.04,3680.02,3625.13,3665.18,23735.25,86743521.43
2/8/2019,3398.4,3733.58,3373.1,3659.04,42214.12,149907760.6
2/7/2019,3405.37,3426.45,3390,3398.4,17480.03,59571238.69
2/6/2019,3471.59,3482.72,3380,3405.37,31770.65,108428107
2/5/2019,3463.22,3478.97,3448.43,3471.59,23887.57,82723836.65
2/4/2019,3458.11,3484.88,3433.31,3463.22,22042.4,76254597.8
2/3/2019,3504.77,3511.09,3426,3458.11,18877.23,65376524.31
2/2/2019,3462.07,3526.4,3440.29,3504.77,16992.58,58911316.57
2/1/2019,3434.1,3488,3401.2,3462.07,23916.44,82446163.33
1/31/2019,3458.18,3489.2,3418.8,3434.1,27928.55,96152449.61
